49
0	160	8	8
1	190	9	9
2	210	10	10
3	240	11	11
4	260	12	12
5	290	13	13
6	310	13	13
7	320	14	14
8	340	14	14
9	350	15	15
10	370	16	16
11	380	16	16
12	400	17	17
13	410	18	18
14	420	18	18
15	430	19	19
16	440	20	20
17	450	20	20
18	460	21	21
19	470	22	22
20	480	23	23
21	490	23	23
22	500	24	24
23	510	24	24
24	520	25	25
25	530	25	26
26	540	26	26
27	540	26	27
28	550	27	27
29	560	28	28
30	570	28	28
31	570	29	29
32	580	29	29
33	590	30	30
34	600	31	31
35	610	31	31
36	620	32	32
37	630	32	33
38	640	33	33
39	650	34	34
40	670	34	35
41	680	35	36
42	700	35	37
43	710	36	38
44	730	36	38
45	740	37	
46	740	38	
47	750	38	
48	760		
